unitid,"10 Year Mean Earnings (0-30,000)",10 Year Mean Earnings,"6 Year Mean Earnings (0-30,000)",6 Year Mean Earnings,"8 Year Median Earnings (0-30,000)",8 Year Median Earnings,"Median Student Loan Debt (0-30,000)",Median Student Loan Debt,"Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort","Number of Students in the Median Debt, Student Cohort",Historically Black College or University,Predominately Black Institution,Asian American and Native American Pacific Islander-Serving Institution,Tribal College or University,Asian American and Native American Pacific Islander-Serving Institutions,Hispanic Serving Institution,Native American Non-Tribal Institution,msi,year
225043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,latest
225070,33700,36000,27900,31300,34109,37213,9490,7500,550,971,0,0,0,0,0,0,0,,latest
225201,35200,37500,31000,33500,42679,44630,19590,18989,380,711,0,0,0,0,0,1,0,hsi,latest
225247,46600,48300,39000,40200,45832,48639,12500,13359,283,1019,0,0,0,0,0,1,0,hsi,latest
225308,31900,35600,26100,29400,32662,36063,7000,6707,873,1550,0,0,0,0,0,0,0,,latest
225371,32400,34800,28300,31600,31308,35681,9500,8088,503,1019,0,0,0,0,0,1,0,hsi,latest
225399,49300,52300,38700,39400,45557,49015,9500,11000,688,1671,0,0,0,0,0,1,0,hsi,latest
225414,48400,52900,41500,45500,54764,56582,13500,13548,1284,2788,0,0,0,0,0,1,0,hsi,latest
225423,37500,39300,29600,31900,32496,34776,9500,8752,11715,17024,0,0,0,0,1,1,0,aanapii;hsi,latest
225432,45900,49300,38800,42500,47443,50849,14500,13750,3074,5562,0,0,0,0,0,1,0,hsi,latest
225502,41600,46200,38600,43800,46625,49673,12750,13565,913,1904,0,0,0,0,0,1,0,hsi,latest
225511,60200,60600,47700,47100,57587,58739,14200,14000,5414,13843,0,0,0,0,1,1,0,aanapii;hsi,latest
225520,31800,35700,26100,30700,31756,34358,7125,6250,360,700,0,0,0,0,0,1,0,hsi,latest
225548,40400,40500,31500,34000,36008,43270,9500,11892,209,658,0,0,0,0,0,1,0,hsi,latest
225575,31400,34200,27400,29900,35451,40664,15000,15999,413,726,1,0,0,0,0,1,0,hbcu;hsi,latest
225627,47100,52500,35500,41000,46969,52962,22937,21231,1038,3026,0,0,0,0,0,1,0,hsi,latest
225876,26300,27900,NA,27600,NA,30885,NA,3500,19,32,0,0,0,0,0,1,0,hsi,latest
225885,25800,27500,21600,22800,NA,30030,12000,12000,474,683,1,0,0,0,0,0,0,hbcu,latest
225991,NA,29300,NA,21500,NA,21840,12000,12000,71,137,0,0,0,0,0,0,0,,latest
226019,32400,34400,28800,32700,32558,35420,9750,9500,1062,1785,0,0,0,0,0,0,0,,latest
226091,42000,46000,34900,37200,40223,46481,12589,12500,2283,5276,0,0,0,0,0,0,0,,latest
226107,31800,34600,27200,31600,29921,34202,8550,8125,337,667,0,0,0,0,0,0,0,,latest
226116,35700,36700,26100,27100,32079,34911,7750,7125,399,717,0,0,0,0,0,1,0,hsi,latest
226134,34600,35600,28500,29400,29862,30695,3000,2334,55,87,0,0,0,0,0,1,0,hsi,latest
226152,45500,46700,34300,36000,40739,43366,10998,11000,1908,3416,0,0,0,0,0,1,0,hsi,latest
226204,38900,43100,32200,35300,34250,37694,6325,5813,599,1039,0,0,0,0,0,1,0,hsi,latest
226231,46800,56800,36000,47300,44805,55447,17972,19000,387,1154,0,0,0,0,0,0,0,,latest
226277,32100,38200,25900,30900,42870,47206,9832,9524,5199,9471,0,0,0,0,0,0,0,,latest
